,,slope,slope,slope,,VOTOS,,,,,ESTIMADO ZARATE,,,
,,FpV,Pro,Massa,,Propato,Caffaro,Bullrich,Larreta,,Propato,Caffaro,Bullrich,Larreta
circuito_id,mesa_id,,,,,,,,,,,,,
1021,238,175.9,455.1,313.3,,,,,,,,,,
1021,239,161.7,274,262,,,,,,,,,,
1021,240,136.3,304.4,304.3,,,,,,,,,,
1021,241,154.7,279.6,318.4,,65,46,,,,10055.5,12861.6,,
1021,242,168.4,333.4,308.4,,,,,,,,,,
1021,243,148.3,363.5,386,,,,,,,,,,
1021,244,168.4,424.2,328.5,,,,,,,,,,
1021,245,167.2,346.5,313.3,,,,,,,,,,
1021,246,157,285.2,399.6,,,,,,,,,,
1021,247,171.1,344.1,321.1,,,,,,,,,,
1021,248,180.5,296.3,336.1,,,,,,,,,,
1021,249,177.5,333.8,291,,,,,,,,,,
1021,250,188.3,317.5,299.9,,,,,,,,,,
1021,251,176.5,358.7,314.6,,,,,,,,,,
1021,252,188.2,390.3,315.9,,,,,,,,,,
1021,253,191.2,369.3,371.6,,,,,,,,,,
1021,254,195.7,398.9,348.6,,,,,,,,,,
1021,255,169.4,409.3,382.9,,,,,,,,,,
1021,256,191.9,449.6,410.5,,,,,,,,,,
1021,257,205.1,379.4,366.9,,,,,,,,,,
1021,258,205.7,375,338.6,,,,,,,,,,
1021,259,213.6,310.2,368.9,,,,,,,,,,
1021,260,209.9,354.3,309.5,,65,45,,,,13643.5,15943.5,,
1021,261,211.1,373.3,386.1,,28,23,,,,5910.8,8585.9,,
1021,262,186.8,325.9,441.6,,69,43,,,,12889.2,14013.7,,
1021,263,213.3,385.8,439.9,x,,,,,,,,,
1021,264,211.3,388.8,351.5,,,,,,,,,,
1021,265,212.1,379.8,466,,,,,,,,,,
1021,266,211.3,367.4,342.7,,,,,,,,,,
1021,267,216.8,380.9,412.3,,,,,,,,,,
1021,268,212.4,385.1,324.7,,,,,,,,,,
1021,269,204.4,386.5,307.9,,,,,,,,,,
1021,270,198.4,384.8,427,,,,,,,,,,
1021,271,212.7,370.9,364.9,,,,,,,,,,
1021,272,204.4,466.9,485.9,,,,,,,,,,
1021,273,249.1,359.1,465,,63,31,,,,15693.3,11132.1,,
1021,274,232,396.5,400.4,,,,,,,,,,
1021,275,227.8,406.9,552.3,,,,,,,,,,
1021,276,244.3,381,485.4,,,,,,,,,,
1021,277,246.6,411.7,,,,,,,,,,,
1021,278,203.8,427.1,,,,,,,,,,,
1021,279,304.3,525,696.4,,,,,,,,,,
1021,280,340.4,697.9,640.7,,,,,,,,,,
1021,281,504.8,640.2,616,,,,,,,,,,
01013A,54,780,1308.1,1232.1,,,,,,,,,,
01013A,59,605.2,1023,,,,,,,,,,,
01013A,60,454.3,1062.4,983.3,,,,,,,,,,
01013A,63,363.7,959.2,596.4,,,,,,,,,,
,,,,,,,,,,,14999.9137931034,10942.0971428571,#DIV/0!,#DIV/0!
,,,,,,,,,,,14664,11132.1,,
,,,,,,,,,,,,,,
,,,,,,,,,,,14800,11000,1.34545454545455,
,,,,,,,,,,,,,,
,,,,,,,,,,,4200,3000,1.4,
