año,eleccion_tipo,padron_tipo,distrito_nombre,cargo_nombre,agrupacion_nombre,votos_cantidad,fuerza
2011,GENERAL,NORMAL,Santa Cruz,Diputado Nacional,Coalición Cívica - Afirmación para una República Igualitaria ARI,6169,OTROS
2011,GENERAL,NORMAL,Santa Cruz,Presidente,Alianza Frente para la Victoria,104867,PERON
2011,GENERAL,NORMAL,Santa Cruz,Presidente,Alianza Frente Amplio Progresista,10357,SOCIALISTA
2011,GENERAL,NORMAL,Santa Cruz,Presidente,Alianza Unión para el Desarrollo Social,16686,UCR
2011,GENERAL,NORMAL,Santa Fe,Diputado Nacional,Alianza Frente para la Victoria,715403,PERON
2011,GENERAL,NORMAL,Santa Fe,Diputado Nacional,Alianza Frente Amplio Progresista,614075,SOCIALISTA
2011,GENERAL,NORMAL,Santa Fe,Diputado Nacional,Coalición Cívica - Afirmación para una República Igualitaria ARI,114335,OTROS
2011,GENERAL,NORMAL,Santa Fe,Presidente,Alianza Frente para la Victoria,748999,PERON
2011,GENERAL,NORMAL,Santa Fe,Presidente,Alianza Frente Amplio Progresista,697855,SOCIALISTA
2011,GENERAL,NORMAL,Santa Fe,Presidente,Alianza Unión para el Desarrollo Social,101414,UCR
2011,GENERAL,NORMAL,Santiago Del Estero,Diputado Nacional,Alianza Frente para la Victoria,57156,PERON
2011,GENERAL,NORMAL,Santiago Del Estero,Diputado Nacional,Unión Cívica Radical,29142,UCR
2011,GENERAL,NORMAL,Santiago Del Estero,Diputado Nacional,Alianza Frente Cívico por Santiago,272986,PROVINCIAL
2011,GENERAL,NORMAL,Santiago Del Estero,Presidente,Alianza Frente para la Victoria,333491,PERON
2011,GENERAL,NORMAL,Santiago Del Estero,Presidente,Alianza Frente Amplio Progresista,16753,SOCIALISTA
2011,GENERAL,NORMAL,Santiago Del Estero,Presidente,Alianza Unión para el Desarrollo Social,28586,UCR
2011,GENERAL,NORMAL,Tierra Del Fuego,Diputado Nacional,Alianza Frente para la Victoria,14899,PERON
2011,GENERAL,NORMAL,Tierra Del Fuego,Diputado Nacional,Movimiento Popular Fueguino,13659,OTROS
2011,GENERAL,NORMAL,Tierra Del Fuego,Diputado Nacional,Partido Justicialista,11747,OTROS
2011,GENERAL,NORMAL,Tierra Del Fuego,Presidente,Alianza Frente para la Victoria,48004,PERON
2011,GENERAL,NORMAL,Tierra Del Fuego,Presidente,Alianza Frente Amplio Progresista,7227,SOCIALISTA
2011,GENERAL,NORMAL,Tierra Del Fuego,Presidente,Alianza Unión para el Desarrollo Social,6099,UCR
2011,GENERAL,NORMAL,Tucumán,Diputado Nacional,Alianza Frente para la Victoria,456466,PERON
2011,GENERAL,NORMAL,Tucumán,Diputado Nacional,Alianza Frente Amplio Progresista,79864,SOCIALISTA
2011,GENERAL,NORMAL,Tucumán,Diputado Nacional,Unión Cívica Radical,123004,UCR
2011,GENERAL,NORMAL,Tucumán,Presidente,Alianza Frente para la Victoria,521093,PERON
2011,GENERAL,NORMAL,Tucumán,Presidente,Alianza Frente Amplio Progresista,86830,SOCIALISTA
2011,GENERAL,NORMAL,Tucumán,Presidente,Alianza Unión para el Desarrollo Social,106139,UCR
2011,PASO,NORMAL,Buenos Aires,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,2168370,PERON
2011,PASO,NORMAL,Buenos Aires,Diputado Nacional,ALIANZA FRENTE POPULAR,522115,OTROS
