in1_prov,in1_dpto,eleccion_tag,cargo_tag,fuerza,votos_cantidad,votos_porcentaje
2,2014,PASO21n,DP,PRO,60832,0.6323689927960331
2,2021,BLTG15n,PR,NO POSITIVOS,5033,0.040806233227122
2,2021,BLTG15n,PR,PERON,46782,0.37929608639603046
2,2021,BLTG15n,PR,PRO,71524,0.5798976803768475
2,2021,GRAL11n,DN,IZQUIERDA,7517,0.06176004206617206
2,2021,GRAL11n,DN,NO POSITIVOS,3733,0.030670511777706574
2,2021,GRAL11n,DN,OTROS,17848,0.14664004666715963
2,2021,GRAL11n,DN,PERON,39333,0.3231618643858914
2,2021,GRAL11n,DN,PRO,17960,0.14756024418098312
2,2021,GRAL11n,DN,PROVINCIAL,7065,0.05804638781395578
2,2021,GRAL11n,DN,SOCIALISTA,18643,0.1531718058054604
2,2021,GRAL11n,DN,UCR,9614,0.07898909730267104
2,2021,GRAL11n,PR,IZQUIERDA,4493,0.036961475497495046
2,2021,GRAL11n,PR,NO POSITIVOS,3494,0.028743244021421695
2,2021,GRAL11n,PR,OTROS,15581,0.12817644106976858
2,2021,GRAL11n,PR,PERON,46588,0.38325422222953465
2,2021,GRAL11n,PR,PROVINCIAL,10932,0.08993163813456839
2,2021,GRAL11n,PR,SOCIALISTA,28049,0.2307439185909723
2,2021,GRAL11n,PR,UCR,12422,0.10218906045623935
2,2021,GRAL13n,DN,IZQUIERDA,7630,0.06279887077259895
2,2021,GRAL13n,DN,NO POSITIVOS,9544,0.07855208684845143
2,2021,GRAL13n,DN,OTROS,40644,0.3345212717800147
2,2021,GRAL13n,DN,PERON,27488,0.22624054518967235
2,2021,GRAL13n,DN,PRO,36193,0.2978872254092626
2,2021,GRAL13n,SN,IZQUIERDA,6494,0.05321598610189214
2,2021,GRAL13n,SN,NO POSITIVOS,8956,0.07339118748514721
2,2021,GRAL13n,SN,OTROS,35454,0.29053273348575365
