agrupacion_nombre,votos_cantidad,fuerza
FRENTE UNIDAD CIUDADANA,85,
UNION POR LA LIBERTAD,83,
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,82,
PROTECTORA FUERZA POLITICA,82,
MOVIMIENTO AMPLIO DE TRABAJADORES Y JUBILADOS,82,
Alianza Frente Popular Unión Pro,81,
"LIBERTAD, VALORES Y CAMBIO",81,
FRENTE AMPLIO TUCUMANO,81,
ACCION PINAMARENSE-AP,81,
AUTODETERMINACIÓN Y LIBERTAD,80,
CORRIENTE DE PENSAMIENTO BONAERENSE,80,
VOCACION SOCIAL,80,
UNIR TDF,80,
JUNTOS POR QUILMES,80,
UNION POR LA RIOJA,78,
Unión Provincial Compromiso Federal,77,
CON VOS PODEMOS,77,
VAMOS,74,
Izquierda del Trabajador por el Socialismo,72,
PERONENSES PRIMERO,71,
PARTIDO DEL OBRERO,71,
FRENTE UNION PRO,70,
NUEVOS RUMBOS,69,
Defensa Comunal de Gral. Paz,69,
TODOS UNIDOS,69,
PROCLAME,69,
CAMBIA SANTA CRUZ,69,
PARTIDO LEALTAD Y DIGNIDAD DE LA PROVINCIA DE BUENOS AIRES,69,
CONVOCACION CIVICA,68,
FUERZA ORG. RENOV. DEMOCRATICA,68,
Nuevo Socialismo Marplatense,68,
UNA NUEVA OPORTUNIDAD SUARENSE-UNOS,67,
